PMID, Ack, Gender 
18442374, Mavromatis,???
18442389, Dr Heiko Liesegang,???
18442389, Andrew Woehler,male
18442400, Mr Meinard Aclan,???
18442400, Mr Juan Miguel Montes,male
18442400, Dr Michel Grave,male
18442401, Schmitz,???
18442401, J Riks,???
18460184, Cynthia Smith,female
18460184, Terry Hayamizu,male
18460184, Waclaw Kusnierczyk,???
18460185, Viet Ha-Thuc,???
18460185, Julien Gobeill,male
18460185, Violaine Pillet,???
18460186, Tecnologia,???
18460187, Warwick Dunn,???
18460187, Farid Khan,???
18460187, Denis V Rubtsov,male
18442418, John Reinitz,both
18445289, Ivo Hofacker,???
18384676, Rick Haycock,male
18447924, Caballero,???
18447924, Quesada,???
18447924, Sergei,???
18447924, Kosakovsky Pond,???
18447924, Desenvolvemento,???
18447924, Isidro Parga Pondal,male
18400082, Ann Hedley,female
18400082, James Wasmuth,both
18400082, Alexie Papanicolaou,???
18793454, Jim Mason,male
18793454, Frank Waxman,male
18793455, Leming Shi,???
18793455, Feng Qian,???
18793455, Dr Zhiliang Li,???
18793457, Dr Alexander Tchoubanov,male
18793460, Lulu Xu,female
18793460, Stephen Jennings,male
18793462, Drs Federico Goodsaid,male
18793462, Jane Wang,female
18793462, Li Zhang,???
18793462, Ansar Jawaid,???
18793462, David Craig,male
18793462, Uwe Scherf,???
18793462, Lakshmi Vishnuvajjala,???
18793462, Arkendra De,???
18793462, Lakshman Ramamurthy,???
18793462, Nick Xiao,male
18793462, Keith Nangle,male
18793462, Meg E Ehm,female
18793462, Gbenga R Kazeem,???
18793462, Dr Tao Chen,???
18793462, Dr Lei Guo,???
18793467, Dr John W Fondon,both
18793467, Dr Guanghua Xiao,???
18793467, Dr Cristi Galindo,female
18793467, Mark Burkart,male
18793467, Dr Wayne Fisher,male
18793467, Linda Gunn,female
18793467, Montgomery Distinguished Chair,male
18793468, Jean Coffman,both
18793468, REH,???
18793469, Josh Hayen,male
18793469, Yan Zhong,???
18793469, Dr Mark Goebl,male
18793469, Dr Zengliang Bai,???
18793471, Dr Georg Seifert,???
18793472, Dr Thamm,???
18694523, Science,???
18694523, KOSEF,???
18694523, Trisha Poole,female
18700982, Baharak Rastegari,???
18700982, Yinglei,???
18700982, Zhao,???
18700982, Mohammad Safari,male
18700982, Jack Jia,male
18700982, Robin Gutell,both
18700982, Christian Zwieb,male
18700982, James Brown,both
18700982, Mathias Sprinzl,male
18700982, Simon Moxon,male
18700982, Jennifer Daub,female
18700982, Robert Giegerich,male
18700982, David Mathews,male
18700982, Alex Brown,male
18700982, Farheen Rawji,???
18702831, Vladimir Hampl,???
18706106, Michael Buckley,male
18713471, Ken J Auberry,male
18713471, Richard D Smith,male
18713471, Anderson Gordon,male
18713471, Richard D Smith,male
18713471, Washington Portions,male
18721468, William Reisdorf,male
18721472, Jinn-Moon Yang,???
18721472, Chi-Hua Tung,???
18721473, Russ Greiner,male
18721485, Jutta J Roth,???
18721485, Sven Findei?,???
18721485, Stephan Bernhart,male
18727838, Dr Adam Round,male
18727838, Cancro,???
18755028, Dr Richard Almon,male
18755032, Yin Yin Lin,???
18755032, Lyle Burton,male
18755032, Ullrich K?the,???
18755032, Linus G?rlitz,male
18755032, Bj?rn Menze,???
18755032, Michael Kelm,male
18755032, Flavio Monigatti,???
18755032, Robert Bosch,male
18759992, Malekpour,???
18759992, Zare,???
18759992, Hamid Pezeshk,???
18680592, Kelsey Hamer,female
18680597, Pullman,???
18680607, Geoff Winsor,male
18680607, Dan Tulpan,male
18680607, Michael Smith Foundation,male
18687111, Philippe Ortet,???
18687122, Anton Nekrutenko,male
18687127, Duncan Hull,male
18687127, Leo Zeef,male
18687127, Thomas Down,male
19077204, Thompson,male
19077204, Adler,???
19091008, Ms Serena Lee,female
19091008, Dr John Candlish,both
19091009, Dr Chih-Cheng Chen,???
19091009, Dr Jer-Yuarn Wu,???
19091009, Dr Harry Wilson,male
19091011, Ted Knoy,male
19091014, Dr JC Tong,???
19091015, Mitsunori Fukuda,???
19091015, Ken Yagi,male
19091015, Yosuke Mizuno,???
19091015, Yutaka Nakachi,???
19091015, Science,???
19091018, Jung-Sun Park,male
19091018, Woo-Yeon Kim The,both
19091018, KOSEF,???
19091020, Mr Yeo,???
19091020, Dr Wu Wei,???
19091020, Science,???
19091023, Dr Hsin-Chou Yang,???
19091023, Dr Chia-Huei Lee,both
19091024, Seunghun Baek,???
19091024, Hee-Yeun Lee,both
19091024, Seong-Yong Yang,???
19091025, Doan Le,male
19091025, David Harrington,male
19091025, Elsa Chacko,female
19091025, Karen Wilson,female
19091025, Vishwas Chavan,???
19091025, Greg Whitbread,male
19091028, Dr Tho Hoan Pham,???
19091029, Dr Kumar,???
19091029, Dr Terribilini,???
19091029, Dr Jeong,???
19091029, Chang,???
19091029, Allan Lo,male
19091029, Chiu,???
19091029, Ei-Wen Yang,???
19091029, Yi-Yuan Chiu,???
19091029, Dr Ming-Tat Ko,???
19091030, Yi-Sian Liao,???
19091032, Dr Masazumi Takahashi,???
19091032, Dr Philip Shaw,male
19091032, Dr Prasit Palittapolgarnpim,???
19091032, Dr Chintana Tocharoentanaphol,???
19091032, Dr Chanin Limwongse Finally,???
19077303, Vandenbogaert,???
19077303, Plewniak,???
19077303, Lethondal,???
19077303, Saveanu,???
19077303, Thompson,male
19087285, St?phane,???
19087285, Mary Bouley,female
19087285, Universit? de Bourgogne,???
19087293, David J States,male
19087293, Thomas W Blackwell,male
19087293, Damian E Fermin,male
19087322, Adam Baldwin,male
19087322, Hidetoshi Urakawa,???
19087329, Vaxconsulting,???
19087329, Dr Adkins,???
19087329, Dr Orzack,???
19087345, Fred Hutchinson,male
19091081, CNPq,???
19091081, Marcos Catanho,male
19091081, Nicolas Carels,male
19091081, Fernando,male
19091081, ?lvarez Valin,???
19091081, Hector Romero,male
19091119, Joan Yantko,female
19094206, Gary Hon,male
19094206, Nathaniel Heintzman,male
19094235, Alex Skrenchuk,male
19094235, Valerie Natale,female
19094235, Kitch Wilson,male
19094235, Annie P Chiang,female
19094235, Andy Kogelnik,male
19099578, Michael Han,male
19099578, John Spieth,both
19099578, Payan Canaran,???
19099578, Coghlan,???
19099578, Gunnar R?tsch,male
19099578, Gabriele Schweikert,???
19099578, Mario Stanke,male
19099591, Micah Hamady,male
19046422, Dr Pramod Pullarkat,???
19046430, Deyuan Zhang,???
19046430, Minghui Li,???
19046430, Pal Saetrom,???
19046430, Tony Handstad,male
19046430, Huzefa Rangwala,???
19046430, Yuanhang,???
19046431, Michael Woodhams,male
19046431, Michael Newton,male
19046431, Micah Hamady,male
19046434, Alex Lewin,male
19046434, Natalia Bochkina,female
19046434, Xinzhong Li,???
19046434, Peter Thomason,male
19046434, James Scott,both
19046434, Marta Blangiardo,female
19046434, Sylvia Richardson,female
19046436, Paul O'Reilly,male
19046436, Birgit Kersten,???
19046436, Jost Neigenfind,???
19102758, Marcin Joachimiak,???
19102758, Markus Kaufman,male
19102758, Juan Alonso,male
19102758, Michael Cox,male
19102758, Postdoctoral Fellowship,???
19102758, Erasmo Foundation,male
19102758, Alexander McPherson,male
19102773, Becky Partida,female
19105835, Sander W Timmer,???
19105835, Anneke van der Reijden,???
19105835, Bernd W Brandt,male
19055792, Jijun Tang,???
19055792, Guillaume Bourque,???
19055792, Glenn Tesler,male
19055792, Matthias Bernt,male
19055796, Donald Geman,male
19055809, Dr Andrew Mooney,male
19055840, Fanconi Anemia,???
19055840, Ricardo Pasquini,male
19055840, John Wagner,both
19055840, Richard Harris,male
19061503, David S Johnson,male
19061503, Brett A Milash,male
19061503, Paola Dal Santo,female
19061503, Evan Johnson,male
19061503, Dean Billheimer,male
19061522, Victor Felix,male
19061522, Todd Creasy,male
19063744, Tarjei Hveem,???
19063744, Vetle Valebj?rg,???
19063744, ?ystein Lekang,???
19063744, Master,???
19063744, Jostein Johansen,???
19063744, Kjetil Klepper,???
19063744, Kjetil Klepper,???
19063745, Melinda Clyne,female
19068132, Craig Venter Institute,male
19068132, Vasily Sharov,???
19068132, Jianwei Li,???
19068132, Wei Liang,???
19068132, Chun-Hua Wan,???
19068132, Lynn Stevens,both
19068132, Miguel Covarrubias,male
18267003, Dr Steffen Heber,male
18267003, Dr Min-Kyu Oh,???
18267014, Jorge Garcia de la Nava,male
18267014, Manuel Hidalgo-Conde,male
18267018, Dr Massimiliano Pontil,???
18267018, Dr Denise Gorse,female
18267040, Beatrix Steinr?cken,female
18315841, Michael Baxter,male
18315841, Doan Le,male
18315841, Gary Cobon,male
18315843, Philip Bourne,male
18315843, Dr Stella Veretnik,female
18315845, Dr J Baldwin,male
18315847, Bundesregierung Deutschland,???
18315848, Dr Ross Walker,male
18315848, Lennart Nilsson,???
18315849, Asif M Khan,???
18315849, Srinivasan,???
18315850, Seng Hong Seah,???
18315850, Judice Koh,???
18315850, Olivo Miotto,???
18315851, KOSEF,???
18315852, KOSEF,???
18315852, Choi This,???
18315854, Dr Sandor Pongor,???
18315854, Dr Alan Christoffels,male
18315854, Dr Olivier Gascuel,???
18315854, Dr Denis Bertrand,male
18315854, Dr Jiaye Yu,???
18315856, Shoba Ranganathan,???
18315859, K Tu,???
18315859, Wang,???
18315860, Heiny,???
18315861, Dr Su-Fang,???
18315861, Lin,???
18315861, Pao-Han,???
18315861, Kuo,???
18315862, Prof Wong,male
18315862, Dr Yue,???
18279525, Thomas Langman,male
18279525, Christoph Moehle,???
18279525, Kurt Stadlthanner,male
18279525, Florian Bloechl,male
18279525, Peter Gruber,male
18279525, Fluoreszente Bioanalytik,???
18279525, Molecular Pathomechanisms,???
18282281, Dr Carlos,male
18282281, Dr Ziad Ramadan,???
18282281, Dr Zhen Su,???
18282281, Dr Ke CHEN,???
18282301, Brenner,???
18282301, EK Lienau,???
18282301, de LaTorre,???
18282301, PJ Planet,???
18284665, Knut,???
18284665, Alice Wallenberg Foundation,female
18284665, Vincent Rouilly,male
18284665, Martin Hemberg,male
18284666, Andreas Sj?din,male
18284666, MR,???
18284683, Tina Zhou,female
18284683, MScanner,???
18284683, Vladimir Bajic,???
18284690, Tiefenbach,???
18284690, Wolfram Gronwald,???
18237442, Dr Ren Zhang,???
18289391, Zohar,???
18289391, Anna Pavtulov,female
18294399, Dr Feng-Biao Guo,???
18294399, Dr Jun Lu,female
18294399, Anh,???
18298814, Maria Scholten,female
18298817, Mette Langaas,???
18298841, Duncan Smith,male
18298861, Dr Stephen Davids,male
18302738, Peter Stadler,male
18302738, Rolf Backofen,male
18302777, Kjetil Klepper,???
18302777, Jostein Johansen,???
18302777, Finn Drabl?s,male
18304355, Lee,both
18304355, Olson,???
18307793, Richard McCombie,male
18307793, Vivekanand Balija,???
18307793, Melissa Kramer,female
18312673, Marko Srdanovic,???
18312673, Kevin C Dorff,male
18312673, David,male
18241353, Kevin Burrage,male
18241353, Kelly Hanson,male
18241353, Radosav Pantelic,???
18251994, Paul Wayper,male
18251994, David Sandilands,male
18251994, Adrian Gibbs,male
18251998, Mevissen,???
18254947, Gary Nunn,male
18254947, Semyon Kruglyak,???
18254947, Natalie Thorne,female
18254947, Christina Curtis,female
18254947, Gordon Smyth,male
18254947, Vincent Carey,male
18254947, Mike Smith,male
18254947, Roman Sasik,male
18254954, Lardenois,???
18254954, J Moore,???
18254954, R Houlgatte,???
18254968, Matthew Holford,male
18257918, Miranda van Uitert,female
18257918, Domenico Bellomo,male
18257925, Lisete Sousa,???
18257925, Ana Pires Parente,female
18257938, Berliner Programm zur F?rderung,???
18257938, Lehre,???
18257938, Stefanie Grunwald,female
18186926, Ministero del Lavoro,???
18186926, Previdenza Sociale,???
18186941, Jeanne Romero-Severson,female
18190711, Equipe Labellis?e,???
18190718, Sloan Fellowship,female
18194517, Gordon Gremme,male
18194517, Sascha Steinbiss,???
18194539, Alessio Ceroni,???
18194539, Alessandro Vullo,male
18194551, S?bastien Carrere,???
18194551, Clare Gough,female
18194557, Dr Hung-Cheng Lai,???
18194557, Dr Jorng-Tzong Horng,???
18194557, Rui-Lan Huang,???
18194576, Mr Hideki Terasawa,???
18194576, Science,???
18197968, Wallace Lab,male
18199333, Dabrowski,???
18199333, Andrade,???
18199333, H Cheung,???
18199333, Jiang,???
18201381, Thierry Sengstag,???
18205906, Szil?rd P?ll,???
18205924, Junmin Liu,???
18205924, Helen Parkinson,female
18205957, DrSongfeng Wu,???
18205957, Master,???
18205957, DrZhongqi Zhang,???
18208605, J Gui,???
18208605, van Wieringen,???
18208605, Bioinformaticsorg,???
18208605, Aguilar,???
18208605, Fundaci?n de Investigaci?n M?dica Mutua Madrile?a,???
18211675, Nikolaev,???
18211675, Tokmachev,???
18211684, Gavin Sherlock,male
18211684, Harmen Bussemaker,???
18211684, Maria Costanzo,female
18215258, Michiaki Hamada,???
18215258, Kengo Sato,???
18215273, Susannah Tringe,female
18215279, Antonio Rausell,male
18215299, Bochicchio,???
18215299, Adams Cowley,male
18215316, Dr Sitao Wu,???
18215330, Kim,both
18215330, Lee This,both
18215330, KOSEF,???
18218074, Michael Friendly,male
18218092, Dr Kyongbum Lee,both
18218092, Ryan P Nolan,male
18218092, Dr Jong Min Lee,both
18218092, Dr Kenneth Crowther,male
18218092, Arvind Chavali,???
18218092, Drake Guenther,male
18218092, Michael Ellis,male
18218100, Bozic,???
18218100, Huang,???
18218100, R?gnvaldsson,???
18218103, Emily Powell,female
18218139, David Brooks,male
18218139, Myron Brakke,male
18221506, Dr Ana Rojas,female
18221506, Dr Michael Tress,male
18221517, Mr A Waterhouse,???
18221517, Dr J Procter,???
18221517, James Bradford,both
18221517, David Westhead,male
18221517, Monk,???
18221517, Walsh,???
18221524, Hongbo Zhang,???
18221524, Brett Castrodale,male
18221560, Dr Frank Bretz,male
18221562, Manely Rashedan,???
18221564, Choung Ik Kim,both
18221568, Mr KC Kuo,???
18226195, Jos? Manuel Otero,male
18226195, Panagiotou,???
18226195, Villum Kann Rasmussen,???
18226195, Kouskoumvekaki,???
18226195, Biotechnology,???
18226231, Kazutaka Katoh,???
18226260, Susan G Komen,female
18226260, Leiv Eriksson,???
18230160, John Bates,both
18230160, Kevin Costello,male
18230160, Herv? Philippe,???
18230172, Bernd Ruoss,???
18230173, Dr Matthew Brown,male
18230174, Hua Xu,???
18234071, Sutton,female
18234071, Dr P Mazi?re,???
18234071, Jean,both
18234071, Bareil,???
18234071, Bresson,???
18234071, Salhi,???
18234090, Dr Ivet Bahar,???
18237374, Dimitris Kallifidas,???
18237374, Mark Paget,male
18237374, Wayne Sleeth,male
18237374, Charu Asthana,???
18237422, Dr Min Zou,???
18237422, Dr Jing Yu,???
18237431, Drs Eden Martin,female
18237431, Robert Tibshirani,male
18237431, Amy Kapp,female
18237431, Alan Dabney,male
18237434, Martha Palmer,female
18237434, Martin Krallinger,male
18237434, Michael Bada,male
18237434, Jesse Paquette,male
18237434, Sue Brozowski,female
18237434, Fonteini Davrazou,???
18173834, Dr Filip Vandenbussche,???
18177495, Josef Panek,male
18177498, Dirk Ledwinka,male
18179696, Rebecca Partida,female
18179701, Dr Joaquin Dopazo,male
18179701, Douglas Grubb,male
18179718, Drs Farber,???
18179718, Hammerschmidt,???
18179718, Pickart,???
18179718, Schimmenti,???
18179718, Sivasubbu,???
18179718, Verfaillie,???
18179718, Dr Eric Klee,male
18182099, Alicia Tribble,female
18182099, Yuka Tateisi,???
18182099, Yoshimasa Tsuruoka,???
18182098, Dr Angel R Ortiz,male
18182098, Dr D Lupyan,???
18182098, Klaus Tschira Stiftung,???
18184432, Stephan Aiche,male
18184432, Anne-Katrin Emde,???
18184432, Ji-Hyun Lim,male
18616827, Kathie Walters,female
18616827, Michael Katze,male
18616827, Maggie Shuhart,female
18620558, Torsten Hothorn,???
18620599, Dr Feng Huang,???
18620599, Mr Hongchun Gu,???
18620599, Dr Divakaran Jeevan,???
18638396, Peter Dallas,male
18638396, Dr Nathan Edwards,male
18638396, Tamara Jones,female
18638396, David Kane,male
18638396, Dr Philip Lorenzi,male
18638396, Dr Jennifer Weller,female
18638416, John Tillinghast,both
18638416, Zhi-Wei Lu,female
18638416, Wei Jiang,???
18644148, CNPq,???
18644149, Marja-Riitta Taskinen,???
18644149, Leena Peltonen,???
18644149, Tjerk de Bruin,???
18673525, DILS,???
18673525, DILS,???
18673525, Patrick Amar,male
18673525, Marie-Dominique Devignes,???
18673525, Nicole Lefevre-Villain,female
18673525, Fr?d?ric Lemoine,???
18673525, Isabelle Mougenot,female
18673525, Bastien Rance,male
18673525, Malika Smail,???
18673525, Fariza Tahi Finally,???
18673526, Sylvain Gaudan,???
18673526, Marie Curie Host,female
18673526, Samira Jaeger,female
18673526, Emily Dimmer,female
18647390, Science,???
18647390, Washietl,???
18647390, Hofacker,???
18652706, Kim,both
18652706, Lee,both
18652706, Python,???
18652706, Dr Jonathan Kans,male
18597687, Michael Mienaltowski,male
18664292, Andrew Keller,male
18664292, Vicki H Wysocki,female
18664292, Zhongqi Zhang,???
18667053, Dr Pasquale Tibollo,male
18667053, Dr Giosu? Annibalini,???
18605993, Simon Mumford,male
18605993, Rainer Perske,???
['None'], Nigel Cooper,male
['None'], Jack Dongarra,male
['None'], Ramin Homayouni,???
['None'], Mike Langston,male
['None'], Terry Mark-Major,male
['None'], Dan Masys,male
['None'], Terry Moore,male
['None'], Jay Snoddy,male
['None'], Chuck Staben,male
['None'], Arnold Stromberg,male
['None'], Bruce Whitehead,male
['None'], Rob Williams,male
['None'], Bethany Coates,female
['None'], Stephanie Dearing,female
['None'], Terry Mark-Major,male
['None'], Michelle Padgett,female
['None'], Kerry Allen,both
['None'], Jennifer Jennings,female
['None'], Sumei Chang,???
['None'], BIRN,???
18613966, Florian Leitenstorfer,male
18544157, Pawlicki,???
18544157, Georges,???
18544157, Giraud,???
18544157, Guillot,???
18544157, G Ranchy,???
18544157, Valin,???
18544157, Juliana Berland,female
18554415, N Srinivasan,???
18554415, Dr Alexandre de Brevern,male
18554421, Yudong Cai,???
18554421, Guohui Ding,???
18554421, Tu Kang,???
18559105, Andreas Graner,male
18559105, Alan Schulman,male
18559105, Peter Langridge,male
18559105, Kaz Sato,???
18559105, Pat Hayes,male
18559105, Tim Close,male
18559112, Mateo Pellegrini,male
18559112, Arturo Ocadiz,male
18559112, Shirley Ainsworth,female
18564431, Vishy Iyer,???
18564431, Wang,???
18564431, Jian Gu,???
18564431, Peng Lu,female
18564431, Zhanzhi Hu,???
18564431, Jonghwan Kim,both
18564431, Patrick Killion,male
18564431, Xochitl Morgan,male
18564431, Ka Yee Yeung,male
18564431, Enamul Huq,???
18564431, Mona Mehdy,female
18564431, Greg Clark,male
18564431, Chungqi Chang,???
18564431, Yeung Sam Hung,male
18570644, Dr Olaf Schenk,male
18570644, Prof Helmar Burkhart,???
18570644, Anita Lerch,female
18570644, Thomas Mangold,male
18570644, Stephan Morgenthaler,male
18570686, KOSEF,???
18577223, Lin,???
18577223, Ghosh,???
18577223, Chinnaiyan,???
18578882, Christopher Fjell,male
18578882, Evgeny Maksakov,???
18578884, Chris Besemann,male
18578884, Alan J Wolfe,male
18578887, Jim Gellman,male
18578887, Hector Rovira,male
18578887, Dan Tenenbaum,male
18578887, Eric Walkingshaw,male
18578887, Tom Collins,male
18588692, Marie Curie,female
18518950, Wen,???
18522755, Wei,???
18522755, EJ Kok,???
18522755, HB Zhang,???
18522755, LX Jiang,???
18522755, Li,???
18522760, Departament de Salut,???
18522760, Generalitat de Catalunya,???
18533028, Sergey Sheetlin,???
18533035, Progetti,???
18533035, Francesco Clementi,male
18533035, Delos Srl,male
18534038, Uwe Sauer,???
18534038, Merja Penttil?,???
18534038, Markus Heinonen,male
18534038, Arto ?kerlund,???
18534038, Roelco Kleijn,???
18534038, Sarah-Maria Fendt,???
18534038, Simon T?nnler,male
18534038, Martin R?hl,male
18538024, Noam Slonim,???
18538024, Olivier Elemento,???
18538027, Esther,female
18541026, Mr,???
18541026, Mrs Robert,male
18541026, Clarice Smith,female
18334028, Al Ozonoff,male
18334028, Gheorghe Doros,???
18334028, Mike LaValley,male
18366628, Alexey Aleksandrov,???
18366628, David Mignon,male
18366649, Trevor H?bert,male
18366649, Richard Jeffers,male
18366649, Peter LaTourrette,male
18366649, Phil Leighton,male
18366649, Richard Jeffers,male
18366649, Collaborative Curation,???
18366663, Alexander Ehrmann,male
18366663, Hermann Zellner,male
18366675, Paul G Allen,male
18366675, Jody Patton,both
18366675, John Morris,both
18366684, Allison Weber,female
18366684, Chris Maher,male
18366693, Donald Ylvisaker,male
18366693, Konan Peck,???
18366693, Chiun-How Kao,???
18366701, Sarah Teichmann,female
18366701, Madan Babu,???
18366701, Charlie Massie,male
18366701, Ian Mills,male
18366701, Richard Pollock,male
18366721, Lihua Jin,???
18366730, Yongchu Liu,???
18366730, Xiaojing Yang,???
18366730, Yifan Yang,???
18366735, Krasnogor,???
18387198, Antonio Mariano,male
18387199, Fondazione Cenci Bolognetti,???
18387199, LIBI,???
18387200, PRIN,???
18387200, Molecular Pathology,???
18387203, LITBIO,???
18387204, Luca Parca,male
18387204, LIBI,???
18387206, Linguaggi,???
18387207, Ricerca Corrente,???
18387208, Marc,male
18387211, Dr David Edwards,male
18387211, Dr Gary Barker,male
18387211, Dr Alberto Montironi,male
18387211, Dr Massoud Malek,???
18387211, Francesco Salamini,male
18366760, Dr Christian Huber,male
18366762, Magnus Rattray,male
18366787, Vincent Berry,male
18366787, Richard Desper,male
18366790, Sven Rahmann,???
18366790, Ellen Baake,female
18366790, Jens Stoye,male
18366790, Daniel Hagemeier,male
18366796, Patricia O'Brien,female
18366796, Vladimir Trifonov,???
18366799, Lore Becker,???
18366799, Birgit Rathkolb,???
18366799, Reinhard Seeliger,???
18366799, Walter Pargent,male
18366802, Bridget Kulasekara,female
18366802, Theodore Larson Freeman,male
18366803, Elena Zotenko,female
18366803, Max Planck Institute,male
18371197, Carlos Rodriguez,male
18371197, Emek Demir,???
18371197, Robert Hoffmann,male
18371197, Doron Betel,???
18371197, Nikolaus Schultz,???
18371216, Anne de Jong,female
18371216, Anders Krogh,male
18371216, Karsten Hiller,???
18371216, Andre Billion,male
18371216, Antoinette Killian,female
18371216, Qinghu Ren,???
18371216, Jack Leunissen,male
18371216, Tim Hulsen,male
18371216, Elena Marchiori,female
18371216, Jaap Heringa,???
18371216, Christof Francke,???
18371222, Dr Jane C Figueiredo,female
18371222, Dr Richard M Watanabe,male
18373878, Dr Thao Tran,???
18373878, Dr Ying Xu,???
18312694, Wang,???
18312694, Chang,???
18312694, Drs Ting-Fang Wang,???
18312694, Chih-Hung Jen,???
18312694, John Aston,both
18312694, Ivan Chang,male
18312694, Dr Wang,???
18315868, Holger Pirk,???
18318909, Sven Sahle,???
18318909, Katrin H?bner,???
18318909, Markus M?ller,male
18318909, Jocelyn Faberman,female
18321373, Darren A Natale,male
18321373, Mauricio de Alvarenga Mudado,male
18325104, Wang Foundation,???
18325116, INGEN,???
18325117, Dorothea Dudek-Creaven,female
18325117, Karen MacPherson,female
18325117, Dr Moore,???
18325117, Dr White,???
18474114, Mayo Clinic,male
18474114, Jeff Holmes,male
18485187, Stephen Altschul,male
18485197, David J Lipman,male
18485197, Eddie Holmes,male
18485197, Yury Voronov,???
18485197, Boris Fedorov,male
18485197, Stacy Ciufo,both
18485197, Sergey Ponomarev,???
18485197, Vahan Grigoryan,???
18485197, Yuri Wolf,???
18485197, Patti Sherman,female
18485197, Kathleen O'Neill,female
18485205, Jacob McCauley,male
18485205, Anne Karpay,female
18485222, Richard Wilson,male
18485222, Elaine Mardis,female
18485222, Timothy Ley,male
18485222, Elaine Mardis,female
18485222, Timothy Ley,male
18485222, Li Ding,???
18485222, Brian Dunford-Shore,male
18485222, Ken Chen,male
18485222, Jarret Glasscock,male
18485222, Michael McLellan II,male
18485222, Ryan Richt,male
18485222, Todd Wylie This,male
18485222, Richard K Wilson,male
18489757, Ginestra Bianconi,???
18489757, Michele Leone,female
18489757, Martin Weigt,male
18489757, Riccardo Zecchina,???
18489757, Carlotta Martelli,female
18489757, Jan Schellenberger,male
18489778, Edward Anderson,male
18489778, Govind Gawdi,???
18492270, Spencer Watson,male
18492270, Dr Doug Horsman,male
18492270, Andre Soesilo,male
18492270, Tony Qin,male
18492270, Philip Wang,male
18492285, Akey,???
18501020, Brenda Andrews,female
18505552, Le?n,???
18505552, Francisco Antequera,male
18505553, Arndt,???
18505553, Ivo Hofacker,???
18505553, Nick Goldman,male
18505553, Roland Flei?ner,male
18505562, Netapps,???
18505562, Spanish Ministerio de Educaci?n,???
18541044, Isobel Peters,female
18541044, Mary Christman,female
18541045, Mauricio Arcos-Burgos,male
18541045, Lina M Moreno,female
18541045, Tamara D Busch,female
18541045, Jamie P L'Heureux,female
18541046, Dr Fumikazu Konishi,???
18541046, Mr Shingo Ohki,???
18541046, Mr Ryo Umetsu,???
18541047, Zhang,???
18541047, AJ Kusalik,???
18541048, Dr Andrew Keller,male
18541050, Mary Christman,female
18541051, Ying Wang,???
18541052, Johnson,male
18541052, Johnson,male
18541053, Richard Moffitt,male
18541053, Nolwenn Le Goasduff,male
18541053, Seyed Abdollah Aftabjahani,???
18541053, Kathy Pham,female
18541053, Xiao Han,???
18541053, Deepak Sambhara,???
18541053, Lauren Smalls-Mantey,female
18541053, Malcolm Thomas,male
18541054, Steven F Jennings,male
18541055, Jurg Ott,male
18541055, Mark Logue,male
18541055, Martin Milder,male
18541055, Rhinda Goedken,???
18541056, J-M Yang,???
18541059, Battelle,???
18507856, Larry J Wilhelm,male
18507856, Dana K Howe,both
18507856, Chris Sullivan,male
18507856, Mark Dasenko,male
18507856, Brian Knaus,male
18507856, Dr Rongkun Shen,???
18507856, Dr Albyn Jones,male
18510743, Rebecca Doerge,female
18510747, Johannes Tuikkala,???
18510747, GOimpute,???
18510747, Dr Ming Ouyang,???
18454847, Voss,???
18513389, Cheng,???
18513389, Drs R Causarano,???
18513389, Jann,female
18513389, R Sterzi,???
18460200, Kauffman,???
18460200, Gebser,???
18460200, Schaub,???
18460207, Julie Thompson,female
18460207, Zsuzsanna Doszt?nyi,???
18460207, James Sinnot,both
18460207, David Thorne,male
18460207, Claudia,female
18460207, Nir Ben-Tal,???
18460207, Norman Davey,male
18460207, Francesca Diella,female
18460207, Niall Haslam,???
18462492, Martin Mann,male
18462492, Sebastian Will,male
18462492, Rhodri Saunders,???
18466620, Hung Wong,male
18466620, Robert Gentleman,male
18466620, Semyon Kruglyak,???
18466620, Sam Volchenboum,male
18466620, Yonghong Xiao,???
19014431, Deutsche Forschungsgemeinschaft,???
19014471, Martin Hellmich,male
19014471, Roman Thomas,male
19014471, Roman Thomas,male
19014490, Gideon Dror,male
19014490, Juan Valcarcel,male
19014490, Klaus Huse,???
19014490, Karol Szafranski,female
19014490, Stefanie Schindler,female
19014490, Swetlana Nikolaweja,???
19014496, Barbara Howlett,female
19014496, Thierry Rouxel,???
19014496, Barton,male
19014535, Daniela Kaufmann,female
19014540, Ulrich Pfeffer,???
19014540, Cheng Li,???
19014579, Clarice Weinberg,female
19014579, David Umbach,male
19014579, Grace Kissling,female
19014579, Shyamal Peddada,???
19014579, Dmitri Zaykin,???
19014579, Bhanu Singh,???
19014579, Robert Bass,male
19014601, Michael R Lamprecht,male
19014601, David A Guertin,male
19014601, Vebj?rn Ljos?,???
19014601, Peggy Anthony,female
19014601, Jason Moffat,male
19014619, KOSEF,???
19014619, MAKRI,???
19014636, Lars R?nneg?rd,male
19014636, Alice Wallenberg Foundation,female
19014642, Paolo Monaci,???
19014642, Armin Lahm,male
19014642, Janet Clench,female
19014713, Cornelia Caragea,female
19014713, Carson Andorf,male
19014713, Yasser,???
19014713, Leelananda Sumudu,???
19025686, Thomas C Rindflesch,male
19025687, Tanabe,???
19025687, BT McInnes,???
19025688, Razvan Bunescu,???
