PMID, Ack, Gender 
18776194, Stefan Maetschke,male
18776194, Fabian Buske,male
18776194, Lachlan Dufton,male
18779234, Narasimha Rao,???
18779234, Wengang Zhou,???
18776192, Science,???
18703587, Alexey Murzin,???
18703587, Kiyoshi Nagai,male
18703587, Dr Maria Garcia-Alai,female
18703587, Dr Trevor Rutherford,male
18703587, Alan Fersht,male
18718942, Perl Monks,???
18718942, Perl,???
18710876, Jinbo Xu,???
18757876, Jinfeng Liu,???
18757876, Andrew Kernytsky,male
18757876, Chani Weinreb,???
18757876, Marco Punta,male
18757876, Avner Schlessinger,???
18757876, Dariusz Przybylski,???
18676972, Markus Ruschhaupt,male
18676972, Ruprecht Kuner,???
18676972, Dirk Ledwinda,male
18676415, Pierre Mah?,male
18676415, V?ronique Stoven,???
18635567, Martin Schumacher,male
18635567, Thomas Gerds,male
18635567, Le Borgne,male
18635567, Sotiriou,???
18635567, Delorenzi,???
18635567, Piccart,???
18697767, J Beaver,???
18697767, E Birney,???
18697767, Bult,???
18697767, R Gerszten,???
18697767, Kasprzyk,???
18697767, D Maglott,???
18697767, J Mellor,???
18697767, T Shtatland,???
18697767, Keck,???
18678588, Johannes S?ding,???
18678588, Beth Cockerham,female
18678588, Kiran Garimella,???
18617538, Clive Hoggart,male
18617538, Guy Leschziner,male
18614583, Eva Balso-Canto,female
18614583, Julie Blumberg,female
18614583, Stefan Hengl,male
18614583, Clemens Kreutz,male
18614583, Stefan Legewie,male
18614583, David Liffmann,male
18614583, Christian Ludwig,male
18614583, Peter Nickel,male
18614583, Tatsunori Nishimura,???
18614583, Martin Peifer,male
18614583, Andreas Raue,male
18614583, Marcel Schilling,male
18653522, Ian Brock Conflict,male
18603566, Yuriy Mishchenko,???
18603566, Ting Zhao,???
18603566, Jonathan Wren,male
18603566, Margaret Jefferies,female
18603566, Badrinath Roysam,???
18603566, Julie Simpson,female
18603566, Phuong Chung,???
18625612, Peter Hung,male
18625612, Herbert Chase,male
18625612, Daniel Stein,male
19088121, Harm van Bakel,male
19088121, Jeff Liu,male
19088121, Gary Bader,male
19088121, Alan Davidson,male
19237444, Zhenyu Xu,???
19237444, Paul McGettigan,male
18703588, Dr Colleen Fordyce,female
18703588, Dr Kurt Thorn,male
19237449, H Saadi,???
19237449, Sansom,???
19237449, Scott,male
19237449, Chetwynd,???
19237447, Van Cortenbosch,male
19237446, Ching-Li Hsu,???
19237446, Tzu-Hui Wu,???
19237446, Kuen-Bor Chen,???
19237446, Chien-Hwa Chang,???
19237446, Kuang-Lee Li,???
19237446, Yu,???
19237446, Chung-Cheng Liu,???
19237446, Chong-Chou Lee,both
19237446, Lu,female
19237446, Charles Lee,male
19237446, Meijyh Kang,???
19237446, Yi-Lin Wu,???
19193730, Jens Nilsson,male
19254921, Peter Chen,male
19254921, Mike Cariaso,male
19254921, Jason Zhang,male
19254921, Dan Sommer,male
19254921, Mihai Pop,???
19254921, Art Delcher,male
19254921, Bill Klimke,male
18326507, Dr Angel W Lee,male
19515959, Eric Cabot,male
19515959, Michael Cox,male
19515959, John Battista,both
19497932, Dr Sam Kariuki,male
19497932, Dr Rumina Hasan,male
19497932, Dr Rajni Gaind,???
19497932, Dr Shanta Dutta,female
19497935, Ming Tang,???
19505943, James Bonfield,both
19505941, Tony Watt,male
19505942, Tikhonov,???
19505942, J Cho,???
19505942, R Santamaria,???
19286833, Hugues Richard,male
19401402, Lothar Altschmied,???
19401402, Helmut B?umlein,???
19401402, Udo Conrad,male
19401402, Urs H?hnel,???
19401402, Gudrun M?nke,???
19401402, Alexander Schliep,male
19401402, Stefan Posch,male
19389732, Gabriele Schweikert,???
19389732, S?ren Sonnenburg,???
19389732, Alexander Zien,male
19389732, Max Planck,male
19202194, Dean Jerry,male
19202194, Elizabeth Thompson,female
19470584, Anna Panchenko,female
19470584, John Spouge,both
19468053, Sandro Lambeck,???
19420051, Ivens,???
19420051, Grove,male
19420051, Mutua Madrile?a,???
19497936, Andrew Berry,male
19497936, Mandy Sanders,female
19497936, Danielle Walker,female
19505945, Juan M Garcia-Gomez,male
19505945, Jordi Burguet-Castell,male
19505945, Pablo Escobar,male
19505945, Joaqu?n T?rraga,???
19505945, Jos? Castresana,???
19398448, Weber,???
19398448, Castillo,???
19417059, Juok Cho,???
19417059, Dan Bolser,male
19417059, Duangrudee Tanramluk,???
19417059, Richard Bickerton,male
19417059, Bernardo Ochoa,male
19808877, Jonathan Pritchard,male
19808877, Molly Przeworski,female
19808877, Matthew Stephens,male
19808877, Paul Zumbo,male
19808877, Mark Domanus,male
19828575, Andrew Torda,male
19812110, Alain Laederach,male
19812110, Daniel Herschlag,male
19812110, Rhiju Das,???
19812110, Samuel Flores,male
19812110, Christopher Bruns,male
19812110, Marc Parisien,male
19846439, AIST,???
19846439, Masaru Watanabe,???
19846439, AIST,???
19808880, Steven Pollard,male
19808880, Anna Falk,female
19837718, Richard Lu,male
19837718, Frederic Breard,male
19837718, Rick Valenzano,male
19837718, Uzma Khan,???
19770262, Wynne Lok,???
19770262, Aditya Aggarwal,male
19770262, Jiantao Lu,female
19770262, Dr Robert Beiko,male
19770262, Haibin Liu,???
19789269, Dr Nobuhiro,???
19789269, Dr Gavin Cawley,male
19786482, Patti,female
19786482, Dr R Kahn,???
19770263, Brohee,???
19770263, van Helden,???
19770263, Newman,male
19789266, John Stone,both
19776214, Choron,???
19776214, P Bonnaure,???
19776214, Baumgaertel,???
19776214, Rihet,???
19776214, Brun,???
19776214, Jacq,???
19074506, Ewen Lescop,???
19074506, Fran?ois Bontems,???
19074506, Olivier Serve,???
19074506, Guillaume Loire,???
19091771, Andrew Su,male
19091771, Tim Wiltshire,male
19129208, Giovanna Felis,female
19091773, Bruno Jedynak,male
19091773, Christopher Wiggins,male
19106121, Ben Bolstad,male
19106121, Mark Dunning,male
19106121, Crispin Miller,male
19106121, Gregoire Pau,???
19106121, Deepayan Sarkar,???
19038986, Dr R Sowdhamini,???
19038986, Sandhya Sankaran,???
19015140, Martin Engler,male
19015140, Dr H Luftmann,???
19015140, Universit?t M?nster,???
19015140, Organisch-Chemisches Institut,???
19015140, Alexander,male
19042916, Sylvain Lambermont,???
19042916, Dr Leheup,???
19042916, Amine Rouhane-Hac?ne,???
19042916, Dave Ritchie,male
19042916, Amis,???
19042916, Lorraine,female
19015141, Kevin Bleakley,male
19015141, Jean-Philippe Vert,???
19015141, Matlab,???
19038988, Midori Harris,male
19038988, Alvis Brazma,male
19008252, Henrik Bengtsson,???
19008252, James Bullard,both
19008252, Kasper Daniel Hansen,male
19033274, Jane Lomax,female
19033274, Hinxton,???
19033274, Chris Mungall,male
19033274, Benjamin Hitz,male
19033274, Rama Balakrishnan,???
19033274, Mary Dolan,female
19033274, Jackson Laboratory,male
19033274, Bar Harbor,???
19033274, Valerie Wood,female
19033274, Hinxton,???
19033274, Eurie Hong,???
19033274, Pascale Gaudet,???
19033273, P?l Puntervoll,???
19033273, Manfred Koegl,???
19033273, Evangelos Pafilis,???
19033273, Niall Haslam,???
19010802, Trey Ideker,male
19010802, Silpa Suthram,???
19010802, Jodi R Parrish,female
19010802, Stephen Guest,male
19010802, Gerardus Tromp,???
18990721, Maria Fookes,female
18990721, Tim Perkins,male
18974170, Anthony Fejes,male
19451168, Mark DePristo,male
19451168, Jared Maguire,male
19451168, Durbin,???
19497934, Yair Mazor,male
19497934, Shahar,???
19497934, Lynne,female
19497934, Paul Ivanier,male
19401401, Marie-France Sagot,???
19401401, Christian Gautier,male
19401401, Programme Al?an,???
19401401, MIRI,???
19468055, Dr Kate Dreher,female
19468055, Monsanto Fellowship,???
19468054, Dr Muneesh Tewari,???
19389731, Donna Slonim,female
19401399, Drs Francesca Mariani,female
19401399, Rachel Dresbeck,female
19417057, Takeshi Kawabata,???
19417057, Matras,???
19417057, Daron Standley,male
19417057, Peter Lackner,male
19417057, Vladimir Galatenko,???
19417057, Fabian Birzele,male
19417057, Gergely Csaba,???
19417057, Vorolign,???
19417057, Antoni Pis?,???
19417057, Francesc Rossell?,???
19417057, Max Shatsky,male
19417057, Alexander Tuzikov,male
19398449, John Reinitz,both
19398449, Lachlan Dufton,male
19376825, Ben Good,male
19376825, Mark Wilkinson,male
19477976, Gustavo Stolovitzky,male
19477978, Thomas Gulish,male
19477978, Alfred,male
19477978, Ray,male
19477980, Misha Kapushesky,???
19477980, PASCAL,???
19477981, John Wootton,both
19477982, Alexander Schmidt,male
19477984, Ron Weiss,male
19477984, Priscilla Purnick,female
19477984, Weiss,???
19477985, Science,???
19477986, Charles H Langley,male
19477986, Rasmus Nielsen,???
19477986, Joshua Paul,male
19477986, Monty Slatkin,male
19477987, Edward Vitkin,male
19477989, Alfred,male
19477990, Richard,male
19477992, Franco Preparata,male
19477992, Crystal Kahn,female
19477992, Anna Ritz,female
19477993, Jo Gay,female
19477993, Charles H Langley,male
19477994, Bruce Donald,male
19477994, Michael Mayhew,male
19477994, Alfred,male
19477996, Leonid Chindelevitch,???
19477996, Jon Kelner,male
19477996, Michael Schnall-Levin,male
19477996, John Hertz Foundation,both
19477998, Arrowsmith,???
19477998, Shuaicheng Li,???
19477998, Guangyu Feng,???
19477998, Dr Ali Ghodsi,male
19477998, Dr Yang Shen,???
19477998, Dr Frank Balbach,male
19477998, Cheriton,???
19477999, Steven Ludtke,male
19477999, Wen Jiang,???
19478000, Josue Samayoa,male
19478000, David Bernick,male
19478000, Craig Lowe,male
19478000, Bin Qian,???
19478000, David Baker,male
19478001, Amos Maritan,male
19478001, Thomas Blicher,male
19478001, Marie Curie,female
19478001, Rientro Dei Cervelli,???
19478001, PRIN,???
19478002, Mr Abraham Heifets,male
19478002, Mr Satyam Merja,???
19478002, Ms Maria Safi,female
19478002, Lilien,???
19478002, Bill,male
19478002, Melinda Gates Foundation,female
19478005, Gunnar Raetsch,male
19478005, Soeren Sonnenburg,???
19478005, Alexander Zien,male
19478005, Uwe Ohler,???
19478006, Geir Kjetil Sandve,???
19478006, Veronica Hinman,female
19478006, Alfred,male
19478007, Carvalho,???
19478007, Lawrence,male
19478015, David,male
19478016, Kamal,???
19478016, Mikkelsen,???
19478016, Zuk,???
19478016, Kellis,???
19478016, P Kheradpour,???
19478016, E Lander,???
19478016, Lin,???
19478016, Lindblad-Toh,???
19478016, Rasmussen,???
19478017, Benjamin Georgi,male
19478017, Katrin H?fl,???
19478017, Peter van den Elzen,male
19478017, Sergio Baranzini,male
19478017, Programa de Apoio,???
19478019, Martin Boeker,male
19478019, Holger Stenzhorn,???
19478019, Robert Hoehndorf,male
19478019, Alan Rector,male
19478019, BOOTStrep,???
19478020, David Hill,male
19478020, Helen Johnson,female
19478020, Mike Bada,male
19478021, Magnus Bordewich,male
19478021, Vincent Moulton,male
19478021, Charles Semple,male
19478021, Johannes Fischer,???
19478021, Alexander Auch,male
19478022, Ziheng Yang,???
19357101, Reidar Andreson,???
19357101, Paula Ann Kivistik,female
19357099, Jimmy Lin,male
19357099, Steven Salzberg,male
19357099, Arthur Delcher,male
19357099, Cole Trapnell,male
19357099, Ben Langmead,male
19376821, Stephen Robertson,male
19376821, Fellowship,???
19321736, Mouse,???
19304878, Fundacao,???
19307237, Ms Deepti Karandur,???
19307237, Dr Cindy Ly,female
19307240, Henning Schmidt,???
19307240, Detlev Bannasch,???
19307240, Jochen Supper,???
19346324, James W Truman,both
19346324, Nicolas Gompel,male
19346324, Simone Fietz,female
19346324, Benjamin Schmidt,male
19223450, Morten Krogh,???
19223450, Josephine Leflaive,female
19179356, GLiu,???
19176553, Alicia Oshlack,female
19218351, Maria Fedorova,female
19218351, Hai Zhu,???
19218351, George Casella,male
19218351, Merlise Clyde,male
19218351, Jon Lightner,male
19218351, Chris Martin,male
19218351, Mark Whitsitt,male
19218351, Bob Merrill,male
19218351, Jennifer Chung,female
19218351, Brian Zeka,male
19218351, Danielle Dewar-Darch,female
19218351, Kent Vander Velden,male
19218351, Corey Yanofsky,male
19218351, Jean Peccoud,both
19218351, Mark Cooper,male
19218351, Tim Helentjaris,male
19218351, Chris Zinselmeier,male
19218351, Dave Selinger,male
19176548, Sven Nelander,???
19168912, Adam Woolfe,male
19244390, Martijn van der Werff,???
19244390, Marc Gerhard,male
19244390, Jens Fuchser,male
19168913, Nicolas Guex,male
19168913, S?bastien Moretti,???
19168913, Laurent Falquet,???
19168913, Victor Jongeneel,male
19168913, David Goldstein,male
19158162, Magnus Isaksson,male
19158162, Liu Bie Ju Cha,???
19158162, Olle Engkvist Byggm?stare Foundation,???
19179357, David Martin,male
19179357, Marco Mariotti,male
19151096, Stefan Jankowski,male
19176546, Ben MacArthur,male
19176546, Amin Mazloom,male
19176546, Ihor Lemischka,???
19176546, Kevin Xiao,male
19176546, Robert Lefkowitz,male
19147665, R Samaga,???
19147665, J Saez-Rodriguez,???
19147665, MR,???
19147664, R Salza,???
19147664, Blanchet,???
19147664, Institut Rh,???
19189978, Stuart Kim,male
19189978, Mike Layden,male
19189978, Ellie Heckscher,female
19189978, Chris Doe,male
19189978, Arnim Jenett,???
